age,genre,region,zone_urbaine,profession_type,profession_detail,revenu_mensuel,anciennete_emploi,montant_credit,duree_credit,historique_credit_mois,defaut_anterieur,mobile_money,garantie,education,situation_matrimoniale,personnes_charge,defaut_paiement
40,M,Thiès,0,Fonctionnaire,Douanes,389272,15,4885984,12,31,0,0,Salaire,Secondaire,Marié(e),3,1
33,M,Dakar,1,Commerçant,Cosmétiques,341025,11,1672093,48,31,1,1,Stock,Primaire,Marié(e),3,1
42,M,Kédougou,1,Commerçant,Vêtements,241910,8,2801781,6,45,0,1,Caution,Secondaire,Marié(e),1,1
53,M,Saint-Louis,0,Commerçant,Transport,685896,25,8942996,18,12,0,1,Stock,Supérieur,Célibataire,3,0
32,M,Saint-Louis,0,Commerçant,Commerce général,602630,11,10883587,6,34,0,1,Immobilier,Secondaire,Marié(e),4,0
32,F,Dakar,1,Fonctionnaire,Santé,389471,11,2151862,24,1,0,1,Salaire,Primaire,Célibataire,6,1
53,F,Saint-Louis,1,Commerçant,Artisanat,773053,31,13734799,12,1,0,1,Véhicule,Primaire,Marié(e),1,0
44,F,Kédougou,1,Commerçant,Électronique,794754,23,14957975,12,9,1,0,Véhicule,Secondaire,Marié(e),3,1
29,M,Thiès,0,Commerçant,Transport,705741,7,2548270,12,5,0,0,Véhicule,Secondaire,Marié(e),3,0
41,M,Matam,1,Fonctionnaire,Police/Gendarmerie,410594,19,5593695,12,17,0,0,Immobilier,Primaire,Marié(e),1,0
29,M,Matam,0,Fonctionnaire,Justice,242264,8,1480271,36,4,0,0,Véhicule,Supérieur,Marié(e),3,0
29,F,Dakar,1,Fonctionnaire,Douanes,639933,8,2541821,36,89,0,1,Salaire,Primaire,Célibataire,0,0
37,M,Dakar,1,Fonctionnaire,Police/Gendarmerie,523069,16,7586013,36,45,0,1,Véhicule,Secondaire,Marié(e),2,0
18,F,Kédougou,0,Commerçant,Cosmétiques,202067,0,1830658,6,0,0,1,Stock,Primaire,Célibataire,0,1
18,M,Saint-Louis,0,Commerçant,Commerce général,602589,0,7962432,12,0,0,1,Immobilier,Supérieur,Célibataire,0,0
28,M,Dakar,1,Fonctionnaire,Impôts,574363,6,5533687,24,72,0,1,Salaire,Supérieur,Marié(e),0,0
22,M,Thiès,0,Fonctionnaire,Enseignant,299537,1,1664881,48,11,0,1,Salaire,Primaire,Marié(e),1,0
38,M,Kaolack,1,Commerçant,Transport,1849465,17,25989020,24,16,0,1,Immobilier,Primaire,Marié(e),2,0
24,F,Fatick,1,Commerçant,Cosmétiques,606323,1,1715936,12,6,0,1,Caution,Secondaire,Marié(e),4,0
18,F,Dakar,1,Commerçant,Électronique,1044168,0,5905510,36,0,0,1,Stock,Secondaire,Marié(e),4,1
52,M,Dakar,1,Fonctionnaire,Collectivités locales,817767,29,11723479,6,37,0,1,Immobilier,Primaire,Marié(e),2,0
32,M,Matam,1,Commerçant,Transport,696905,11,13354884,36,16,0,1,Véhicule,Supérieur,Marié(e),3,0
35,F,Ziguinchor,0,Commerçant,Artisanat,1258527,9,13450876,48,8,0,1,Stock,Secondaire,Marié(e),3,1
18,F,Kaolack,1,Fonctionnaire,Justice,216060,0,1086535,48,0,0,0,Salaire,Secondaire,Marié(e),2,0
28,M,Fatick,0,Commerçant,Électronique,1750391,1,16784781,6,1,0,1,Immobilier,Secondaire,Marié(e),1,0
36,M,Saint-Louis,0,Commerçant,Restauration,933855,15,16610735,18,30,0,1,Stock,Secondaire,Célibataire,1,0
21,M,Ziguinchor,1,Commerçant,Vêtements,665454,1,2172662,18,14,0,1,Immobilier,Secondaire,Marié(e),1,0
39,M,Saint-Louis,0,Commerçant,Alimentaire,1081327,17,4651473,12,54,1,1,Stock,Secondaire,Marié(e),3,1
27,M,Dakar,1,Commerçant,Bétail/Volaille,624209,2,11311760,18,61,0,1,Stock,Secondaire,Marié(e),3,0
31,M,Ziguinchor,0,Commerçant,Alimentaire,2307509,1,21868034,24,3,0,1,Immobilier,Secondaire,Marié(e),4,0
27,M,Saint-Louis,1,Commerçant,Commerce général,557544,5,1952661,12,108,0,1,Caution,Primaire,Marié(e),2,0
57,M,Sédhiou,0,Fonctionnaire,Impôts,766699,32,3580874,12,84,0,1,Salaire,Secondaire,Marié(e),2,0
34,M,Thiès,1,Fonctionnaire,Douanes,223862,10,3042145,6,23,0,1,Immobilier,Supérieur,Marié(e),2,0
22,F,Matam,0,Commerçant,Cosmétiques,290998,1,3149139,48,41,1,1,Caution,Supérieur,Marié(e),0,1
44,F,Matam,1,Commerçant,Transport,999874,20,4933275,36,0,0,1,Véhicule,Primaire,Marié(e),2,1
20,M,Dakar,1,Fonctionnaire,Police/Gendarmerie,530084,1,7277373,24,24,0,1,Salaire,Secondaire,Marié(e),0,0
37,F,Fatick,1,Commerçant,Vêtements,917511,15,15794970,6,14,0,1,Caution,Supérieur,Célibataire,3,0
18,F,Saint-Louis,1,Commerçant,Transport,892436,0,2154715,24,0,0,1,Stock,Primaire,Marié(e),2,0
19,M,Louga,0,Commerçant,Restauration,762342,1,9497120,12,11,0,1,Caution,Supérieur,Célibataire,3,0
37,M,Diourbel,0,Fonctionnaire,Santé,404765,10,2401082,24,37,0,1,Véhicule,Primaire,Marié(e),1,0
43,F,Ziguinchor,0,Commerçant,Transport,798166,17,9255887,24,12,0,1,Véhicule,Supérieur,Marié(e),4,1
37,F,Diourbel,1,Fonctionnaire,Police/Gendarmerie,530629,11,3370141,36,10,0,1,Véhicule,Secondaire,Marié(e),2,0
33,F,Dakar,1,Fonctionnaire,Administration,520481,12,3534334,12,70,0,1,Véhicule,Secondaire,Divorcé(e),2,0
31,F,Dakar,1,Fonctionnaire,Douanes,293726,10,3002534,6,28,0,1,Véhicule,Supérieur,Marié(e),0,0
18,F,Saint-Louis,0,Commerçant,Transport,535317,0,6262922,36,0,0,1,Véhicule,Supérieur,Marié(e),4,0
26,M,Ziguinchor,1,Fonctionnaire,Douanes,212533,1,1645496,36,18,0,1,Salaire,Secondaire,Marié(e),0,0
29,M,Tambacounda,1,Commerçant,Cosmétiques,710862,8,2798111,18,60,1,0,Caution,Secondaire,Marié(e),3,0
47,M,Kolda,1,Commerçant,Vêtements,413625,25,8044853,6,32,0,1,Stock,Secondaire,Marié(e),2,0
39,M,Thiès,1,Commerçant,Restauration,331113,18,1702881,18,1,0,1,Caution,Primaire,Marié(e),5,0
18,F,Diourbel,0,Commerçant,Artisanat,175805,0,2355103,18,0,0,1,Caution,Secondaire,Marié(e),6,0
38,M,Dakar,1,Fonctionnaire,Collectivités locales,454453,17,1814602,36,0,0,1,Véhicule,Supérieur,Marié(e),2,0
30,F,Kaffrine,1,Commerçant,Restauration,267986,9,3856219,24,42,0,0,Caution,Secondaire,Marié(e),2,0
26,M,Sédhiou,0,Commerçant,Vêtements,675216,4,2503104,6,9,0,1,Stock,Supérieur,Marié(e),4,0
42,M,Saint-Louis,0,Commerçant,Bétail/Volaille,1057006,11,6480662,24,21,0,1,Véhicule,Primaire,Célibataire,3,0
47,M,Dakar,1,Fonctionnaire,Police/Gendarmerie,431988,23,4649842,6,33,0,1,Salaire,Primaire,Célibataire,3,0
46,M,Dakar,1,Commerçant,Bétail/Volaille,822089,22,5830940,6,24,0,1,Immobilier,Secondaire,Divorcé(e),4,0
24,F,Tambacounda,1,Fonctionnaire,Police/Gendarmerie,150427,2,1413142,12,26,0,1,Véhicule,Secondaire,Marié(e),3,0
31,F,Tambacounda,0,Fonctionnaire,Santé,295447,5,1327757,6,53,0,1,Véhicule,Primaire,Célibataire,1,0
38,F,Fatick,1,Fonctionnaire,Administration,338001,10,1834942,36,11,0,1,Véhicule,Secondaire,Célibataire,0,0
46,M,Thiès,1,Commerçant,Artisanat,1113712,16,16937294,18,19,0,1,Immobilier,Supérieur,Marié(e),6,0
29,M,Fatick,1,Fonctionnaire,Santé,50000,8,171083,18,4,0,1,Salaire,Supérieur,Marié(e),2,0
32,M,Kolda,1,Commerçant,Cosmétiques,450264,5,1806640,18,15,0,1,Caution,Primaire,Célibataire,1,1
21,M,Thiès,0,Fonctionnaire,Collectivités locales,77152,1,430467,48,3,0,1,Salaire,Secondaire,Célibataire,3,0
20,F,Kaolack,1,Fonctionnaire,Douanes,156530,1,507515,36,24,0,1,Salaire,Secondaire,Marié(e),3,0
44,F,Dakar,1,Commerçant,Alimentaire,402893,22,1497479,36,9,1,1,Stock,Secondaire,Célibataire,2,1
51,F,Diourbel,1,Fonctionnaire,Douanes,326457,27,2081717,12,47,0,1,Véhicule,Supérieur,Célibataire,2,0
34,M,Louga,1,Commerçant,Alimentaire,479844,11,1762233,6,10,1,1,Caution,Primaire,Marié(e),4,1
47,F,Saint-Louis,1,Commerçant,Commerce général,804073,26,14143764,18,8,0,1,Véhicule,Secondaire,Marié(e),3,0
39,M,Kaffrine,1,Commerçant,Cosmétiques,210962,14,672827,18,16,0,0,Stock,Supérieur,Célibataire,2,0
27,F,Kaolack,1,Fonctionnaire,Administration,332803,5,4436864,12,4,0,1,Immobilier,Primaire,Marié(e),5,0
